tournament,stage,matchday,player,player_id,team,team_id,kills,kill_share,raw_kill_share,team_average_placement,raw_team_average_placement,games,team_games,team_total_kills,lobby_kills,individual_lobby_placement,team_lobby_placements,team_lobby_kills,matchday_placement,player_matchday_rank,lobby_1_kills,lobby_2_kills,lobby_3_kills,individual_lobby_1_placement,individual_lobby_2_placement,individual_lobby_3_placement,team_lobby_1_placement,team_lobby_2_placement,team_lobby_3_placement,team_lobby_1_kills,team_lobby_2_kills,team_lobby_3_kills,ign,player_class,total_placement_points,total_kill_points,team_bonus_points,team_total_points,average_kills_per_game,raw_average_kills_per_game,total_damage,average_damage_per_game,average_accuracy
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,WINDIGO,Y3hmYqIvBg07ApvAvtRu,MAIN CHARACTERS OG,tm_mgol0xhrx,9,17,16.9811320754717,12.67,12.666666666666666,3,3,53,"{""1"":3,""2"":3,""3"":3}","{""1"":10,""2"":18,""3"":10}","{""1"":10,""2"":18,""3"":10}","{""1"":21,""2"":11,""3"":21}",11,44,3,3,3,10,18,10,10,18,10,21,11,21,MC丨WINDIGOAT,Class 1,0,106,-40,66,3,3,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,DAVLIEN,B11aFzLHBG1YcrCZHV68,Marines Cartel,o7Dp7knjVTxhemRjJF7R,9,22.5,22.5,11.33,11.333333333333334,3,3,40,"{""1"":3,""2"":2,""3"":4}","{""1"":8,""2"":17,""3"":9}","{""1"":8,""2"":17,""3"":9}","{""1"":18,""2"":15,""3"":7}",17,45,3,2,4,8,17,9,8,17,9,18,15,7,DAVLIEN.IN.¹LT,Class 1,0,80,-60,20,3,3,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,RETIRED,e8Z8c5IjjbrnZ6ekVpAg,SCARRED LEGION,aOLRuUnFkOKgu9xAtqHy,9,19.6,19.565217391304348,10,10,3,3,46,"{""1"":2,""2"":7,""3"":0}","{""1"":16,""2"":8,""3"":6}","{""1"":16,""2"":8,""3"":6}","{""1"":12,""2"":26,""3"":8}",13,46,2,7,0,16,8,6,16,8,6,12,26,8,GENESISメ,Class 1,0,92,-30,62,3,3,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,DAVID,jTE33p1KQlsI1B0FfmQn,ZL ESPORTS,1rBWZvmbgkMHIlWnkyfe,9,24.3,24.324324324324326,7.33,7.333333333333333,3,3,37,"{""1"":7,""2"":2,""3"":0}","{""1"":1,""2"":7,""3"":14}","{""1"":1,""2"":7,""3"":14}","{""1"":17,""2"":13,""3"":7}",18,47,7,2,0,1,7,14,1,7,14,17,13,7,ELON.ZL,Class 1,25,74,-100,-1,3,3,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,REMO,dYruCjqNO7qAYaIBjTDt,Narcissist,ukMz1QObm2RORWQOa9dc,9,19.6,19.565217391304348,15,15,3,3,46,"{""1"":7,""2"":1,""3"":1}","{""1"":11,""2"":15,""3"":19}","{""1"":11,""2"":15,""3"":19}","{""1"":28,""2"":14,""3"":4}",10,48,7,1,1,11,15,19,11,15,19,28,14,4,口RÉRÉ,Class 1,0,92,-10,82,3,3,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,TRYING,PoZ1r7UYNb4ferMN4h0R,ENVY 7 ONE,tm_ubz3oae5j,8,17.4,17.391304347826086,13.33,13.333333333333334,3,3,46,"{""1"":3,""2"":0,""3"":5}","{""1"":17,""2"":16,""3"":7}","{""1"":17,""2"":16,""3"":7}","{""1"":17,""2"":13,""3"":16}",9,49,3,0,5,17,16,7,17,16,7,17,13,16,TRYING.SVN,Class 1,0,92,0,92,2.67,2.6666666666666665,5314,1771,25.8
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,LOVE,lEIbmv2Nb4W1hCF2WYdI,Findigo Mirage,DfsCHneTL900q2o2ZCT6,8,42.1,42.10526315789473,11.67,11.666666666666666,3,3,19,"{""1"":3,""2"":5,""3"":0}","{""1"":6,""2"":12,""3"":17}","{""1"":6,""2"":12,""3"":17}","{""1"":9,""2"":8,""3"":2}",20,50,3,5,0,6,12,17,6,12,17,9,8,2,LOVE・¹F¡,Class 1,0,38,-100,-62,2.67,2.6666666666666665,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,MAUS,kUOdoGK7ff8eYeZgwvXq,FEARLESS WARRIORS,tm_rgqdo8wje,8,16,16,12.67,12.666666666666666,3,3,50,"{""1"":0,""2"":0,""3"":8}","{""1"":14,""2"":20,""3"":4}","{""1"":14,""2"":20,""3"":4}","{""1"":21,""2"":4,""3"":25}",7,51,0,0,8,14,20,4,14,20,4,21,4,25,ƑW・MAUS,Class 1,10,100,0,110,2.67,2.6666666666666665,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,RELAX OG,OKrAHDFNWaCteQUIc2bK,WICKED ENTITIES,tm_n96zqds0m,8,25.8,25.806451612903224,15,15,3,3,31,"{""1"":5,""2"":3,""3"":0}","{""1"":13,""2"":19,""3"":13}","{""1"":13,""2"":19,""3"":13}","{""1"":14,""2"":13,""3"":4}",16,52,5,3,0,13,19,13,13,19,13,14,13,4,ƐИ丨 ƦELAX,Class 1,0,62,-40,22,2.67,2.6666666666666665,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,CRAY,BiGMSgAzFeFwlhKC889D,FAZE ICONS,62lUXdIP47pjzO65aTZm,8,32,32,12.67,12.666666666666666,3,3,25,"{""1"":6,""2"":1,""3"":1}","{""1"":15,""2"":5,""3"":18}","{""1"":15,""2"":5,""3"":18}","{""1"":14,""2"":8,""3"":3}",15,53,6,1,1,15,5,18,15,5,18,14,8,3,ҒZ CRAY,Class 1,5,50,-10,45,2.67,2.6666666666666665,0,0,0
