tournament,stage,matchday,player,player_id,team,team_id,kills,kill_share,raw_kill_share,team_average_placement,raw_team_average_placement,games,team_games,team_total_kills,lobby_kills,individual_lobby_placement,team_lobby_placements,team_lobby_kills,matchday_placement,player_matchday_rank,lobby_1_kills,lobby_2_kills,lobby_3_kills,individual_lobby_1_placement,individual_lobby_2_placement,individual_lobby_3_placement,team_lobby_1_placement,team_lobby_2_placement,team_lobby_3_placement,team_lobby_1_kills,team_lobby_2_kills,team_lobby_3_kills,ign,player_class,total_placement_points,total_kill_points,team_bonus_points,team_total_points,average_kills_per_game,raw_average_kills_per_game,total_damage,average_damage_per_game,average_accuracy
FRIENDS OR FOES,Standard,1,POISON,QZIn6rAU2CGPFbGbQu4v,GOAT ESPORT,tm_ws9x2fl5b,37,38.5,38.54166666666667,6.33,6.333333333333333,3,3,96,"{""1"":7,""2"":18,""3"":12}","{""1"":16,""2"":2,""3"":1}","{""1"":16,""2"":2,""3"":1}","{""1"":14,""2"":45,""3"":37}",1,1,7,18,12,16,2,1,16,2,1,14,45,37,毒GOAT SHUSH,Class 1,105,384,0,489,12.33,12.333333333333334,0,0,0
FRIENDS OR FOES,Standard,1,ICONIC,Bupc8GCd3yBuLtWbFou4,KYZON ALLIANCE,tm_3fapr2cz9,32,42.1,42.10526315789473,10,10,3,3,76,"{""1"":6,""2"":14,""3"":12}","{""1"":15,""2"":13,""3"":2}","{""1"":15,""2"":13,""3"":2}","{""1"":14,""2"":30,""3"":32}",6,2,6,14,12,15,13,2,15,13,2,14,30,32,KZ GIANNA,Class 1,75,304,0,379,10.67,10.666666666666666,0,0,0
FRIENDS OR FOES,Standard,1,ANDREW,zccOX3iQQuevsZAxcr4f,REMEDIUM INVICTUS,tm_kdh97vkx3,30,38.5,38.46153846153847,9.67,9.666666666666666,3,3,78,"{""1"":16,""2"":7,""3"":7}","{""1"":2,""2"":12,""3"":15}","{""1"":2,""2"":12,""3"":15}","{""1"":34,""2"":25,""3"":19}",5,3,16,7,7,2,12,15,2,12,15,34,25,19,水RDM・XAKII,Class 1,75,312,0,387,10,10,0,0,0
FRIENDS OR FOES,Standard,1,COLDSKI,ZMq7kz2SSMfPugtDW1dB,KYZON ESPORTS,tm_yvpteelv4,29,35.4,35.36585365853659,7.67,7.666666666666667,3,3,82,"{""1"":11,""2"":9,""3"":9}","{""1"":5,""2"":14,""3"":4}","{""1"":5,""2"":14,""3"":4}","{""1"":24,""2"":31,""3"":27}",3,4,11,9,9,5,14,4,5,14,4,24,31,27,ҞZ・COLDSKI,Class 1,80,328,0,408,9.67,9.666666666666666,0,0,0
FRIENDS OR FOES,Standard,1,DERAZ,pPvCKKzMoO9wgFzAq0sd,DEVELOPERS,tm_w0a02yn8h,29,43.9,43.93939393939394,10.67,10.666666666666666,3,3,66,"{""1"":13,""2"":4,""3"":12}","{""1"":4,""2"":19,""3"":9}","{""1"":4,""2"":19,""3"":9}","{""1"":34,""2"":9,""3"":23}",8,5,13,4,12,4,19,9,4,19,9,34,9,23,DERAZYT.DXV,Class 1,65,264,0,329,9.67,9.666666666666666,0,0,0
FRIENDS OR FOES,Standard,1,SWAYZE,qefoLXaT9gaO2ycKQocy,Narcissist,ukMz1QObm2RORWQOa9dc,28,31.8,31.818181818181817,7,7,3,3,88,"{""1"":7,""2"":7,""3"":14}","{""1"":10,""2"":5,""3"":6}","{""1"":10,""2"":5,""3"":6}","{""1"":22,""2"":33,""3"":33}",2,6,7,7,14,10,5,6,10,5,6,22,33,33,口ISWAYZETT,Class 1,70,352,0,422,9.33,9.333333333333334,0,0,0
FRIENDS OR FOES,Standard,1,SENÕR J,ycTWfDj2OJDBcpjn5DKa,MAIN CHARACTERS OG,tm_mgol0xhrx,26,52,52,14,14,3,3,50,"{""1"":0,""2"":23,""3"":3}","{""1"":21,""2"":3,""3"":18}","{""1"":21,""2"":3,""3"":18}","{""1"":1,""2"":36,""3"":13}",10,7,0,23,3,21,3,18,21,3,18,1,36,13,MC丨DELYNA,Class 1,55,200,0,255,8.67,8.666666666666666,0,0,0
FRIENDS OR FOES,Standard,1,ZINOPLAYS,yWni6juo4WjqiGJF3jyo,CIAO GUARDIANS,xZgUbwrDC2TK3wcpPUY3,25,30.9,30.864197530864196,7,7,3,3,81,"{""1"":3,""2"":13,""3"":9}","{""1"":12,""2"":6,""3"":3}","{""1"":12,""2"":6,""3"":3}","{""1"":16,""2"":27,""3"":38}",4,8,3,13,9,12,6,3,12,6,3,16,27,38,ZPYT۶.CHX,Class 1,75,324,0,399,8.33,8.333333333333334,0,0,0
FRIENDS OR FOES,Standard,1,H,1p147F2F2H3SBlfhv9jn,Marines Cartel,o7Dp7knjVTxhemRjJF7R,25,156.3,156.25,16,16,3,3,16,"{""1"":6,""2"":8,""3"":11}","{""1"":17,""2"":18,""3"":13}","{""1"":17,""2"":18,""3"":13}","{""1"":10,""2"":5,""3"":1}",21,9,6,8,11,17,18,13,17,18,13,10,5,1,ƝW~H | ¹LT,Class 1,35,64,0,99,8.33,8.333333333333334,0,0,0
FRIENDS OR FOES,Standard,1,GB CRYPTO,OxMhCUSkyAT0LrziaNDP,GOAT ESPORT,tm_ws9x2fl5b,24,25,25,6.33,6.333333333333333,3,3,96,"{""1"":1,""2"":8,""3"":15}","{""1"":16,""2"":2,""3"":1}","{""1"":16,""2"":2,""3"":1}","{""1"":14,""2"":45,""3"":37}",1,10,1,8,15,16,2,1,16,2,1,14,45,37,毒GOAT CRYPTO,Class 1,105,384,0,489,8,8,0,0,0
FRIENDS OR FOES,Standard,1,REMO,dYruCjqNO7qAYaIBjTDt,Narcissist,ukMz1QObm2RORWQOa9dc,23,26.1,26.136363636363637,7,7,3,3,88,"{""1"":7,""2"":8,""3"":8}","{""1"":10,""2"":5,""3"":6}","{""1"":10,""2"":5,""3"":6}","{""1"":22,""2"":33,""3"":33}",2,11,7,8,8,10,5,6,10,5,6,22,33,33,口SWEATYREREﻬ,Class 1,70,352,0,422,7.67,7.666666666666667,0,0,0
FRIENDS OR FOES,Standard,1,CODGHOST,AZdZ5MvPMJMZep4m3bBN,Narcissist,ukMz1QObm2RORWQOa9dc,22,25,25,7,7,3,3,88,"{""1"":6,""2"":12,""3"":4}","{""1"":10,""2"":5,""3"":6}","{""1"":10,""2"":5,""3"":6}","{""1"":22,""2"":33,""3"":33}",2,12,6,12,4,10,5,6,10,5,6,22,33,33,口7,Class 1,70,352,0,422,7.33,7.333333333333333,0,0,0
FRIENDS OR FOES,Standard,1,ASUMA,CKMVsD0SVtvVAI3ggnjR,BROTHERHOOD,ORtlxzvsOKPEjdtaekig,21,52.5,52.5,5.67,5.666666666666667,3,3,40,"{""1"":8,""2"":8,""3"":5}","{""1"":6,""2"":1,""3"":10}","{""1"":6,""2"":1,""3"":10}","{""1"":15,""2"":15,""3"":10}",11,13,8,8,5,6,1,10,6,1,10,15,15,10,BH ASUMA,Class 1,90,160,0,250,7,7,0,0,0
FRIENDS OR FOES,Standard,1,FATHERALI,lQ3oUgLHQF7EsyPL3mFJ,VORTEX ONE,tm_4oss9tizq,21,30.4,30.434782608695656,8.33,8.333333333333334,3,3,69,"{""1"":11,""2"":3,""3"":7}","{""1"":1,""2"":8,""3"":16}","{""1"":1,""2"":8,""3"":16}","{""1"":33,""2"":19,""3"":17}",7,14,11,3,7,1,8,16,1,8,16,33,19,17,DEMON.VRX,Class 1,80,276,0,356,7,7,0,0,0
FRIENDS OR FOES,Standard,1,GENIUS,uuEZBl8ygzwctHZbKjGV,KYZON ESPORTS,tm_yvpteelv4,20,24.4,24.390243902439025,7.67,7.666666666666667,3,3,82,"{""1"":5,""2"":7,""3"":8}","{""1"":5,""2"":14,""3"":4}","{""1"":5,""2"":14,""3"":4}","{""1"":24,""2"":31,""3"":27}",3,15,5,7,8,5,14,4,5,14,4,24,31,27,ҞZ • GENIUS ২,Class 1,80,328,0,408,6.67,6.666666666666667,0,0,0
FRIENDS OR FOES,Standard,1,AIMBOTONIPAD,bNNoVfpqP2dN4eICglng,KYZON ALLIANCE,tm_3fapr2cz9,20,26.3,26.31578947368421,10,10,3,3,76,"{""1"":3,""2"":8,""3"":9}","{""1"":15,""2"":13,""3"":2}","{""1"":15,""2"":13,""3"":2}","{""1"":14,""2"":30,""3"":32}",6,16,3,8,9,15,13,2,15,13,2,14,30,32,ҞZ GRYPHON,Class 1,75,304,0,379,6.67,6.666666666666667,0,0,0
FRIENDS OR FOES,Standard,1,JOJO,T2sK7jSZkJqKgLswvF1g,REMEDIUM INVICTUS,tm_kdh97vkx3,20,25.6,25.64102564102564,9.67,9.666666666666666,3,3,78,"{""1"":8,""2"":4,""3"":8}","{""1"":2,""2"":12,""3"":15}","{""1"":2,""2"":12,""3"":15}","{""1"":34,""2"":25,""3"":19}",5,17,8,4,8,2,12,15,2,12,15,34,25,19,水RDM・JOJO,Class 1,75,312,0,387,6.67,6.666666666666667,0,0,0
FRIENDS OR FOES,Standard,1,SAMMY,CRgmZpi6YPL39TOInRBz,REMEDIUM INVICTUS,tm_kdh97vkx3,19,24.4,24.358974358974358,9.67,9.666666666666666,3,3,78,"{""1"":7,""2"":11,""3"":1}","{""1"":2,""2"":12,""3"":15}","{""1"":2,""2"":12,""3"":15}","{""1"":34,""2"":25,""3"":19}",5,18,7,11,1,2,12,15,2,12,15,34,25,19,水RDM • SAMMY.+,Class 1,75,312,0,387,6.33,6.333333333333333,0,0,0
FRIENDS OR FOES,Standard,1,JOZZY,FdJ3rIlmedcTFhzRruvA,DEVELOPERS,tm_w0a02yn8h,19,28.8,28.78787878787879,10.67,10.666666666666666,3,3,66,"{""1"":7,""2"":1,""3"":11}","{""1"":4,""2"":19,""3"":9}","{""1"":4,""2"":19,""3"":9}","{""1"":34,""2"":9,""3"":23}",8,19,7,1,11,4,19,9,4,19,9,34,9,23,BLADE.DXV,Class 1,65,264,0,329,6.33,6.333333333333333,0,0,0
FRIENDS OR FOES,Standard,1,APOSTLE,L1LKfVKd47rwlshv2vY1,CIAO HUNTERS X,tm_twhkzzdmf,19,31.7,31.666666666666664,6,6,3,3,60,"{""1"":6,""2"":6,""3"":7}","{""1"":3,""2"":7,""3"":8}","{""1"":3,""2"":7,""3"":8}","{""1"":17,""2"":20,""3"":23}",9,20,6,6,7,3,7,8,3,7,8,17,20,23,APOSTLEOP.CHX,Class 1,80,240,0,320,6.33,6.333333333333333,0,0,0
FRIENDS OR FOES,Standard,1,NANAYAW,tX7GCLJJ61u8bLkRroBP,GOAT ESPORT,tm_ws9x2fl5b,18,18.8,18.75,6.33,6.333333333333333,3,3,96,"{""1"":2,""2"":10,""3"":6}","{""1"":16,""2"":2,""3"":1}","{""1"":16,""2"":2,""3"":1}","{""1"":14,""2"":45,""3"":37}",1,21,2,10,6,16,2,1,16,2,1,14,45,37,毒GOAT GOAT,Class 1,105,384,0,489,6,6,0,0,0
FRIENDS OR FOES,Standard,1,FLUFFY,zJzKvUNu4k0ilGg2ocCY,KYZON ESPORTS,tm_yvpteelv4,18,22,21.951219512195124,7.67,7.666666666666667,3,3,82,"{""1"":3,""2"":9,""3"":6}","{""1"":5,""2"":14,""3"":4}","{""1"":5,""2"":14,""3"":4}","{""1"":24,""2"":31,""3"":27}",3,22,3,9,6,5,14,4,5,14,4,24,31,27,ҞZ・MONKEY,Class 1,80,328,0,408,6,6,0,0,0
FRIENDS OR FOES,Standard,1,NURUTA,UiCvqj6uu4EoGsvi2kLs,CIAO HUNTERS X,tm_twhkzzdmf,17,28.3,28.333333333333332,6,6,3,3,60,"{""1"":4,""2"":5,""3"":8}","{""1"":3,""2"":7,""3"":8}","{""1"":3,""2"":7,""3"":8}","{""1"":17,""2"":20,""3"":23}",9,23,4,5,8,3,7,8,3,7,8,17,20,23,NURUTA.CHX,Class 1,80,240,0,320,5.67,5.666666666666667,0,0,0
FRIENDS OR FOES,Standard,1,YAGAMI,Bx7S0iZlMNevEE4eXnqz,VORTEX ONE,tm_4oss9tizq,17,24.6,24.637681159420293,8.33,8.333333333333334,3,3,69,"{""1"":9,""2"":8,""3"":0}","{""1"":1,""2"":8,""3"":16}","{""1"":1,""2"":8,""3"":16}","{""1"":33,""2"":19,""3"":17}",7,24,9,8,0,1,8,16,1,8,16,33,19,17,QTR YAGA.VRX,Class 1,80,276,0,356,5.67,5.666666666666667,0,0,0
FRIENDS OR FOES,Standard,1,TOLU MARTINS,qiDPTJl18fmW4r6n11Pr,CIAO HUNTERS X,tm_twhkzzdmf,17,28.3,28.333333333333332,6,6,3,3,60,"{""1"":6,""2"":6,""3"":5}","{""1"":3,""2"":7,""3"":8}","{""1"":3,""2"":7,""3"":8}","{""1"":17,""2"":20,""3"":23}",9,25,6,6,5,3,7,8,3,7,8,17,20,23,ROMANS1:18.CHX,Class 1,80,240,0,320,5.67,5.666666666666667,0,0,0
FRIENDS OR FOES,Standard,1,LARRYCODM,IsJGFwRijyY55ezUgJMG,VORTEX ONE,tm_4oss9tizq,17,24.6,24.637681159420293,8.33,8.333333333333334,3,3,69,"{""1"":8,""2"":5,""3"":4}","{""1"":1,""2"":8,""3"":16}","{""1"":1,""2"":8,""3"":16}","{""1"":33,""2"":19,""3"":17}",7,26,8,5,4,1,8,16,1,8,16,33,19,17,RARRI.VRX,Class 1,80,276,0,356,5.67,5.666666666666667,0,0,0
FRIENDS OR FOES,Standard,1,CHIKE,WP7wn4jjPa6n4busZVnT,GOAT ESPORT,tm_ws9x2fl5b,17,17.7,17.708333333333336,6.33,6.333333333333333,3,3,96,"{""1"":4,""2"":9,""3"":4}","{""1"":16,""2"":2,""3"":1}","{""1"":16,""2"":2,""3"":1}","{""1"":14,""2"":45,""3"":37}",1,27,4,9,4,16,2,1,16,2,1,14,45,37,毒GOAT CHIKE,Class 1,105,384,0,489,5.67,5.666666666666667,0,0,0
FRIENDS OR FOES,Standard,1,SOG,B9K5pOOLE39QnCqnDNHY,ENVY 7 ONE,tm_ubz3oae5j,17,36.2,36.17021276595745,12.67,12.666666666666666,3,3,47,"{""1"":6,""2"":3,""3"":8}","{""1"":8,""2"":16,""3"":14}","{""1"":8,""2"":16,""3"":14}","{""1"":13,""2"":18,""3"":16}",12,28,6,3,8,8,16,14,8,16,14,13,18,16,SOG.SVN¹,Class 1,45,188,0,233,5.67,5.666666666666667,0,0,0
FRIENDS OR FOES,Standard,1,TRYING,PoZ1r7UYNb4ferMN4h0R,YVL ZENITH,9QcWKHtOAOLOrVMJNE0C,16,36.4,36.36363636363637,11,11,3,3,44,"{""1"":2,""2"":7,""3"":7}","{""1"":11,""2"":10,""3"":12}","{""1"":11,""2"":10,""3"":12}","{""1"":13,""2"":17,""3"":14}",13,29,2,7,7,11,10,12,11,10,12,13,17,14,٧VLゝOLA,Class 1,50,176,0,226,5.33,5.333333333333333,0,0,0
FRIENDS OR FOES,Standard,1,REACHER,wyrK9RX0czI2aidGBDd3,YVL ZENITH,9QcWKHtOAOLOrVMJNE0C,16,36.4,36.36363636363637,11,11,3,3,44,"{""1"":9,""2"":3,""3"":4}","{""1"":11,""2"":10,""3"":12}","{""1"":11,""2"":10,""3"":12}","{""1"":13,""2"":17,""3"":14}",13,30,9,3,4,11,10,12,11,10,12,13,17,14,YVLゝREACHER,Class 1,50,176,0,226,5.33,5.333333333333333,0,0,0
FRIENDS OR FOES,Standard,1,VENOM,STmUpiwkCk5ybUeJJAAW,CIAO GUARDIANS,xZgUbwrDC2TK3wcpPUY3,15,18.5,18.51851851851852,7,7,3,3,81,"{""1"":2,""2"":6,""3"":7}","{""1"":12,""2"":6,""3"":3}","{""1"":12,""2"":6,""3"":3}","{""1"":16,""2"":27,""3"":38}",4,31,2,6,7,12,6,3,12,6,3,16,27,38,VENOMYT.CHX,Class 1,75,324,0,399,5,5,0,0,0
FRIENDS OR FOES,Standard,1,ODOGWU,EL0jkB2u1HR36UhBAUWa,DEVELOPERS,tm_w0a02yn8h,15,22.7,22.727272727272727,10.67,10.666666666666666,3,3,66,"{""1"":6,""2"":2,""3"":7}","{""1"":4,""2"":19,""3"":9}","{""1"":4,""2"":19,""3"":9}","{""1"":34,""2"":9,""3"":23}",8,32,6,2,7,4,19,9,4,19,9,34,9,23,AALIYAH.DXV,Class 1,65,264,0,329,5,5,0,0,0
FRIENDS OR FOES,Standard,1,SANTA,vDhcxuukJqexMKfneLxv,KYZON ALLIANCE,tm_3fapr2cz9,15,19.7,19.736842105263158,10,10,3,3,76,"{""1"":3,""2"":3,""3"":9}","{""1"":15,""2"":13,""3"":2}","{""1"":15,""2"":13,""3"":2}","{""1"":14,""2"":30,""3"":32}",6,33,3,3,9,15,13,2,15,13,2,14,30,32,ҞZ STAR,Class 1,75,304,0,379,5,5,0,0,0
FRIENDS OR FOES,Standard,1,MAYHEM,w0TDikwzq62t4ST2ZjeZ,KYZON ESPORTS,tm_yvpteelv4,15,18.3,18.29268292682927,7.67,7.666666666666667,3,3,82,"{""1"":5,""2"":6,""3"":4}","{""1"":5,""2"":14,""3"":4}","{""1"":5,""2"":14,""3"":4}","{""1"":24,""2"":31,""3"":27}",3,34,5,6,4,5,14,4,5,14,4,24,31,27,ҞZ・APE২,Class 1,80,328,0,408,5,5,0,0,0
FRIENDS OR FOES,Standard,1,SAVAGE,Hq5gw6eD9HnU8lTr2RHZ,FEARLESS WARRIORS,tm_rgqdo8wje,14,43.8,43.75,13.33,13.333333333333334,3,3,32,"{""1"":3,""2"":3,""3"":8}","{""1"":18,""2"":17,""3"":5}","{""1"":18,""2"":17,""3"":5}","{""1"":7,""2"":8,""3"":17}",16,35,3,3,8,18,17,5,18,17,5,7,8,17,ƑW・SAVAGEYT,Class 1,50,128,0,178,4.67,4.666666666666667,0,0,0
FRIENDS OR FOES,Standard,1,CODGOD,dqr1RKopXDu3zfgmOqcY,VORTEX ONE,tm_4oss9tizq,14,20.3,20.28985507246377,8.33,8.333333333333334,3,3,69,"{""1"":5,""2"":3,""3"":6}","{""1"":1,""2"":8,""3"":16}","{""1"":1,""2"":8,""3"":16}","{""1"":33,""2"":19,""3"":17}",7,36,5,3,6,1,8,16,1,8,16,33,19,17,CODGOD.VRX,Class 1,80,276,0,356,4.67,4.666666666666667,0,0,0
FRIENDS OR FOES,Standard,1,MOVEMENT,zbgasCEzQ3XBmq26KwCr,DEVELOPERS,tm_w0a02yn8h,14,21.2,21.21212121212121,10.67,10.666666666666666,3,3,66,"{""1"":8,""2"":2,""3"":4}","{""1"":4,""2"":19,""3"":9}","{""1"":4,""2"":19,""3"":9}","{""1"":34,""2"":9,""3"":23}",8,37,8,2,4,4,19,9,4,19,9,34,9,23,MOVEMENT..DXV,Class 1,65,264,0,329,4.67,4.666666666666667,0,0,0
FRIENDS OR FOES,Standard,1,YUSUF,qKQQ85V7nwqlL2KDXoGl,ENVY 7 ONE,tm_ubz3oae5j,13,27.7,27.659574468085108,12.67,12.666666666666666,3,3,47,"{""1"":4,""2"":5,""3"":4}","{""1"":8,""2"":16,""3"":14}","{""1"":8,""2"":16,""3"":14}","{""1"":13,""2"":18,""3"":16}",12,38,4,5,4,8,16,14,8,16,14,13,18,16,YUSUF.SVN¹,Class 1,45,188,0,233,4.33,4.333333333333333,0,0,0
FRIENDS OR FOES,Standard,1,ALLFATHER,eZr86KcPlEoSTarsNbR0,TEAM X,D2dU5QVY9U6g9t3bKk9C,12,29.3,29.268292682926827,10.67,10.666666666666666,3,3,41,"{""1"":3,""2"":3,""3"":6}","{""1"":14,""2"":11,""3"":7}","{""1"":14,""2"":11,""3"":7}","{""1"":6,""2"":15,""3"":20}",14,39,3,3,6,14,11,7,14,11,7,6,15,20,叶°MP-0,Class 1,50,164,0,214,4,4,0,0,0
FRIENDS OR FOES,Standard,1,CEEJAY,p_q0z253rna,⁠FAZE RAIDERS,VBWUGsiSMKIkkTYb3TSn,12,35.3,35.294117647058826,14.33,14.333333333333334,3,3,34,"{""1"":0,""2"":7,""3"":5}","{""1"":19,""2"":4,""3"":20}","{""1"":19,""2"":4,""3"":20}","{""1"":2,""2"":17,""3"":15}",15,40,0,7,5,19,4,20,19,4,20,2,17,15,ҒZ JAPAN,Class 1,55,136,0,191,4,4,0,0,0
FRIENDS OR FOES,Standard,1,DEMON,NiT6GePQhD8XyqSCmuMI,PREACHER X,tm_c0yc4xjf4,11,45.8,45.83333333333333,19,19,3,3,24,"{""1"":3,""2"":3,""3"":5}","{""1"":20,""2"":20,""3"":17}","{""1"":20,""2"":20,""3"":17}","{""1"":5,""2"":4,""3"":15}",19,41,3,3,5,20,20,17,20,20,17,5,4,15,PЯX・OLUOMO,Class 1,30,96,0,126,3.67,3.6666666666666665,0,0,0
FRIENDS OR FOES,Standard,1,TRAUMA,mRdFfQB7p8thuw53PwWL,TEAM X,D2dU5QVY9U6g9t3bKk9C,11,26.8,26.82926829268293,10.67,10.666666666666666,3,3,41,"{""1"":1,""2"":4,""3"":6}","{""1"":14,""2"":11,""3"":7}","{""1"":14,""2"":11,""3"":7}","{""1"":6,""2"":15,""3"":20}",14,42,1,4,6,14,11,7,14,11,7,6,15,20,叶°TRAUMA,Class 1,50,164,0,214,3.67,3.6666666666666665,0,0,0
FRIENDS OR FOES,Standard,1,WINDIGO,Y3hmYqIvBg07ApvAvtRu,MAIN CHARACTERS OG,tm_mgol0xhrx,11,22,22,14,14,3,3,50,"{""1"":1,""2"":4,""3"":6}","{""1"":21,""2"":3,""3"":18}","{""1"":21,""2"":3,""3"":18}","{""1"":1,""2"":36,""3"":13}",10,43,1,4,6,21,3,18,21,3,18,1,36,13,MC丨NASTYA,Class 1,55,200,0,255,3.67,3.6666666666666665,0,0,0
FRIENDS OR FOES,Standard,1,RUSTY,GQC099yRTvpPKG2zBXZD,⁠FAZE RAIDERS,VBWUGsiSMKIkkTYb3TSn,10,29.4,29.411764705882355,14.33,14.333333333333334,3,3,34,"{""1"":0,""2"":4,""3"":6}","{""1"":19,""2"":4,""3"":20}","{""1"":19,""2"":4,""3"":20}","{""1"":2,""2"":17,""3"":15}",15,44,0,4,6,19,4,20,19,4,20,2,17,15,ҒZ HEKI,Class 1,55,136,0,191,3.33,3.3333333333333335,0,0,0
FRIENDS OR FOES,Standard,1,PAGANINI,APlTtB3VKt0P7QlbaYHA,ENVY 7 ONE,tm_ubz3oae5j,10,21.3,21.27659574468085,12.67,12.666666666666666,3,3,47,"{""1"":2,""2"":5,""3"":3}","{""1"":8,""2"":16,""3"":14}","{""1"":8,""2"":16,""3"":14}","{""1"":13,""2"":18,""3"":16}",12,45,2,5,3,8,16,14,8,16,14,13,18,16,SIX.SVN,Class 1,45,188,0,233,3.33,3.3333333333333335,0,0,0
FRIENDS OR FOES,Standard,1,DANIEL,2hoGdFkIX9KrsMSafUIB,FEARLESS ULTIMATE,QXr3HX0HM3Rf35A0UKUN,9,32.1,32.142857142857146,12.33,12.333333333333334,3,3,28,"{""1"":3,""2"":4,""3"":2}","{""1"":9,""2"":9,""3"":19}","{""1"":9,""2"":9,""3"":19}","{""1"":12,""2"":10,""3"":6}",17,46,3,4,2,9,9,19,9,9,19,12,10,6,ƑW・X TA C,Class 1,50,112,0,162,3,3,0,0,0
FRIENDS OR FOES,Standard,1,DELETE,yXsVHpZGIDJoF3CpeME2,MAIN CHARACTERS OG,tm_mgol0xhrx,9,18,18,14,14,3,3,50,"{""1"":0,""2"":6,""3"":3}","{""1"":21,""2"":3,""3"":18}","{""1"":21,""2"":3,""3"":18}","{""1"":1,""2"":36,""3"":13}",10,47,0,6,3,21,3,18,21,3,18,1,36,13,MC丨IFɅ,Class 1,55,200,0,255,3,3,0,0,0
FRIENDS OR FOES,Standard,1,OMEGA,5yx4Bj2tFtb311znF0Np,FEARLESS ULTIMATE,QXr3HX0HM3Rf35A0UKUN,9,32.1,32.142857142857146,12.33,12.333333333333334,3,3,28,"{""1"":6,""2"":2,""3"":1}","{""1"":9,""2"":9,""3"":19}","{""1"":9,""2"":9,""3"":19}","{""1"":12,""2"":10,""3"":6}",17,48,6,2,1,9,9,19,9,9,19,12,10,6,ƑW・NOOB,Class 1,50,112,0,162,3,3,0,0,0
FRIENDS OR FOES,Standard,1,MAUS,kUOdoGK7ff8eYeZgwvXq,TEAM X,D2dU5QVY9U6g9t3bKk9C,9,22,21.951219512195124,10.67,10.666666666666666,3,3,41,"{""1"":0,""2"":4,""3"":5}","{""1"":14,""2"":11,""3"":7}","{""1"":14,""2"":11,""3"":7}","{""1"":6,""2"":15,""3"":20}",14,49,0,4,5,14,11,7,14,11,7,6,15,20,叶°MAUS,Class 1,50,164,0,214,3,3,0,0,0
FRIENDS OR FOES,Standard,1,MAMI GREY,Wxiw1DKhlXTXvayohYTt,REMEDIUM INVICTUS,tm_kdh97vkx3,9,11.5,11.538461538461538,9.67,9.666666666666666,3,3,78,"{""1"":3,""2"":3,""3"":3}","{""1"":2,""2"":12,""3"":15}","{""1"":2,""2"":12,""3"":15}","{""1"":34,""2"":25,""3"":19}",5,50,3,3,3,2,12,15,2,12,15,34,25,19,水RDM・GREY,Registered,75,312,0,387,3,3,0,0,0
FRIENDS OR FOES,Standard,1,BIGTULA,qj6FOc1Z8aeEWmqUk84v,KYZON ALLIANCE,tm_3fapr2cz9,9,11.8,11.842105263157894,10,10,3,3,76,"{""1"":2,""2"":5,""3"":2}","{""1"":15,""2"":13,""3"":2}","{""1"":15,""2"":13,""3"":2}","{""1"":14,""2"":30,""3"":32}",6,51,2,5,2,15,13,2,15,13,2,14,30,32,KZ GILLIFANT,Class 1,75,304,0,379,3,3,0,0,0
FRIENDS OR FOES,Standard,1,SLY,j39wPvPuSoMq1TOb78Ih,TEAM X,D2dU5QVY9U6g9t3bKk9C,9,22,21.951219512195124,10.67,10.666666666666666,3,3,41,"{""1"":2,""2"":4,""3"":3}","{""1"":14,""2"":11,""3"":7}","{""1"":14,""2"":11,""3"":7}","{""1"":6,""2"":15,""3"":20}",14,52,2,4,3,14,11,7,14,11,7,6,15,20,叶°SLY,Class 1,50,164,0,214,3,3,0,0,0
FRIENDS OR FOES,Standard,1,BRANDON,rrHKtFIklquwAlLsk8vF,Narcissist,ukMz1QObm2RORWQOa9dc,8,9.1,9.090909090909092,7,7,2,3,88,"{""1"":2,""2"":6}","{""1"":10,""2"":5}","{""1"":10,""2"":5,""3"":6}","{""1"":22,""2"":33,""3"":33}",2,53,2,6,,10,5,,10,5,6,22,33,33,口PANCAKE,Class 1,70,352,0,422,4,4,0,0,0
FRIENDS OR FOES,Standard,1,TORUSKI,JS1VnLDlLbM6yIBFzo0u,YVL ZENITH,9QcWKHtOAOLOrVMJNE0C,8,18.2,18.181818181818183,11,11,3,3,44,"{""1"":1,""2"":4,""3"":3}","{""1"":11,""2"":10,""3"":12}","{""1"":11,""2"":10,""3"":12}","{""1"":13,""2"":17,""3"":14}",13,54,1,4,3,11,10,12,11,10,12,13,17,14,YVLゝDГ. Ƭ,Class 1,50,176,0,226,2.67,2.6666666666666665,0,0,0
FRIENDS OR FOES,Standard,1,BH GREY,9WczEt0mrYEQoeKfntMO,BROTHERHOOD,ORtlxzvsOKPEjdtaekig,7,17.5,17.5,5.67,5.666666666666667,3,3,40,"{""1"":3,""2"":1,""3"":3}","{""1"":6,""2"":1,""3"":10}","{""1"":6,""2"":1,""3"":10}","{""1"":15,""2"":15,""3"":10}",11,55,3,1,3,6,1,10,6,1,10,15,15,10,BH GREY,Registered,90,160,0,250,2.33,2.3333333333333335,0,0,0
